rva	symbol	category	disposition	public_header	probe	address_id
0001D380	?find_pair_of_cores@IVP_Friction_System@@QAEPAVIVP_Friction_Core_Pair@@PAVIVP_Core@@0@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemFindPair	FrictionSystemFindPair
0001D3D0	?calc_virtual_mass_of_mindist@IVP_Contact_Point@@AAEXXZ	public-environment	typed-wrapper	include/BML/IVP/Environment.h	Address::ContactPointCalculateVirtualMass	ContactPointCalculateVirtualMass
0001D4D0	?grow_friction_system@IVP_Core@@QAE?AW4IVP_BOOL@@XZ	public-core	typed-wrapper	include/BML/IVP/Core.h	Address::CoreGrowFrictionSystem	CoreGrowFrictionSystem
0001D600	?get_associated_controlled_cores@IVP_Friction_System@@UAEPAV?$IVP_U_Vector@VIVP_Core@@@@XZ	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemGetAssociatedCores	FrictionSystemGetAssociatedCores
0001D610	?do_simulation_controller@IVP_Friction_Sys_Energy@@UAEXPAVIVP_Event_Sim@@PAV?$IVP_U_Vector@VIVP_Core@@@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionEnergyControllerDoSimulation	FrictionEnergyControllerDoSimulation
0001D660	?do_simulation_single_friction@IVP_Friction_Sys_Static@@AAEXPAVIVP_Event_Sim@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionStaticControllerDoSingle	FrictionStaticControllerDoSingle
0001D6C0	?do_simulation_controller@IVP_Friction_Sys_Static@@UAEXPAVIVP_Event_Sim@@PAV?$IVP_U_Vector@VIVP_Core@@@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionStaticControllerDoSimulation	FrictionStaticControllerDoSimulation
0001D750	?do_simulation_controller@IVP_Friction_System@@UAEXPAVIVP_Event_Sim@@PAV?$IVP_U_Vector@VIVP_Core@@@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemDoSimulation	FrictionSystemDoSimulation
0001D830	?get_material_index@IVP_Synapse_Friction@@QBEHXZ	public-mindist	typed-wrapper	include/BML/IVP/Mindist.h	Address::SynapseFrictionGetMaterialIndex	SynapseFrictionGetMaterialIndex
0001D840	?is_same_as@IVP_Synapse_Friction@@QBE?AW4IVP_BOOL@@PBVIVP_Synapse_Real@@@Z	public-mindist	typed-wrapper	include/BML/IVP/Mindist.h	Address::SynapseFrictionIsSameAs	SynapseFrictionIsSameAs
0001D910	?is_same_as@IVP_Contact_Point@@ABE?AW4IVP_BOOL@@PBVIVP_Mindist@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::ContactPointIsSameMindist	ContactPointIsSameMindist
0001D9A0	?core_is_going_to_be_deleted_event@IVP_Friction_Sys_Static@@UAEXPAVIVP_Core@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionStaticControllerCoreDeleted	FrictionStaticControllerCoreDeleted
0001DA10	?p_strdup@@YAPADPBD@Z	public-active-value	typed-wrapper	include/BML/IVP/ActiveValue.h	Address::DuplicateString	DuplicateString
0001DB30	??0IVP_VHash@@IAE@H@Z	public-set	typed-wrapper	include/BML/IVP/Set.h	Address::VHashConstruct	VHashConstruct
0001DB80	??1IVP_VHash@@UAE@XZ	public-set	typed-wrapper	include/BML/IVP/Set.h	Address::VHashDestruct	VHashDestruct
0001DBB0	?rehash@IVP_VHash@@AAEXH@Z	public-set	typed-wrapper	include/BML/IVP/Set.h	Address::VHashRehash	VHashRehash
0001DC60	?add_elem@IVP_VHash@@QAEXPBXH@Z	public-collision-filter	typed-wrapper	include/BML/IVP/CollisionFilter.h	Address::VHashAdd	VHashAdd
0001DD10	?remove_elem@IVP_VHash@@QAEPAXPBXI@Z	public-collision-filter	typed-wrapper	include/BML/IVP/CollisionFilter.h	Address::VHashRemove	VHashRemove
0001DE10	?find_elem@IVP_VHash@@QBEPAXPBXI@Z	public-collision-filter	typed-wrapper	include/BML/IVP/CollisionFilter.h	Address::VHashFind	VHashFind
0001DE80	??0IVP_VHash_Store@@QAE@H@Z	public-set	typed-wrapper	include/BML/IVP/Set.h	Address::VHashStoreConstruct	VHashStoreConstruct
0001DEB0	??1IVP_VHash_Store@@QAE@XZ	public-set	typed-wrapper	include/BML/IVP/Set.h	Address::VHashStoreDestruct	VHashStoreDestruct
0001DF60	?add_elem@IVP_VHash_Store@@QAEXPAX0@Z	public-set	typed-wrapper	include/BML/IVP/Set.h	Address::VHashStoreAdd	VHashStoreAdd
0001DFB0	?add_elem@IVP_VHash_Store@@QAEXPAX0H@Z	public-set	typed-wrapper	include/BML/IVP/Set.h	Address::VHashStoreAddHashed	VHashStoreAddHashed
0001E070	?remove_elem@IVP_VHash_Store@@QAEPAXPAX@Z	public-set	typed-wrapper	include/BML/IVP/Set.h	Address::VHashStoreRemove	VHashStoreRemove
0001E0C0	?remove_elem@IVP_VHash_Store@@QAEPAXPAXI@Z	public-set	typed-wrapper	include/BML/IVP/Set.h	Address::VHashStoreRemoveHashed	VHashStoreRemoveHashed
0001E1B0	?find_elem@IVP_VHash_Store@@QAEPAXPAX@Z	public-set	typed-wrapper	include/BML/IVP/Set.h	Address::VHashStoreFind	VHashStoreFind
0001E200	?find_elem@IVP_VHash_Store@@QAEPAXPAXI@Z	public-set	typed-wrapper	include/BML/IVP/Set.h	Address::VHashStoreFindHashed	VHashStoreFindHashed
0001E260	?change_elem@IVP_VHash_Store@@QAEXPAX0@Z	public-set	typed-wrapper	include/BML/IVP/Set.h	Address::VHashStoreChange	VHashStoreChange
0001E300	?calc_next_PSI_matrix@IVP_Calc_Next_PSI_Solver@@QAEXPAVIVP_Event_Sim@@PAV?$IVP_U_Vector@VIVP_Hull_Manager_Base@@@@@Z	public-core	typed-wrapper	include/BML/IVP/Core.h	Address::CalcNextPsiMatrix	CalcNextPsiMatrix
0001E730	?are_events_in_hull@IVP_Hull_Manager@@QAE?AW4IVP_BOOL@@XZ	public-object	typed-wrapper	include/BML/IVP/Object.h	Address::HullManagerAreEventsInHull	HullManagerAreEventsInHull
0001E750	?increase_hull_by_x@IVP_Hull_Manager@@QAEXVIVP_Time@@MMM@Z	public-object	typed-wrapper	include/BML/IVP/Object.h	Address::HullManagerIncreaseByX	HullManagerIncreaseByX
0001E7C0	?set_mult_quat@IVP_U_Quat@@QAEXPBV1@0@Z	public-types	typed-wrapper	include/BML/IVP/Types.h	Address::QuaternionSetMultiply	QuaternionSetMultiply
0001E870	?calc_psi_rotation_axis@IVP_Calc_Next_PSI_Solver@@AAEXPBVIVP_U_Quat@@@Z	public-core	typed-wrapper	include/BML/IVP/Core.h	Address::CalcNextPsiRotationAxis	CalcNextPsiRotationAxis
0001EA50	?commit_all_calc_next_PSI_matrix@IVP_Calc_Next_PSI_Solver@@SAXPAVIVP_Environment@@PAV?$IVP_U_Vector@VIVP_Core@@@@PAV?$IVP_U_Vector@VIVP_Hull_Manager_Base@@@@@Z	public-core	typed-wrapper	include/BML/IVP/Core.h	Address::CalcNextPsiCommitAll	CalcNextPsiCommitAll
0001EB10	?commit_all_hull_managers@IVP_Calc_Next_PSI_Solver@@SAXPAVIVP_Environment@@PAV?$IVP_U_Vector@VIVP_Hull_Manager_Base@@@@@Z	public-core	typed-wrapper	include/BML/IVP/Core.h	Address::CalcNextPsiCommitAllHulls	CalcNextPsiCommitAllHulls
0001EE70	?p_calc_friction_qr_PF@IVP_Contact_Point@@AAEXPBVIVP_U_Point@@PBVIVP_Compact_Edge@@PAVIVP_Cache_Ledge_Point@@PAVIVP_Impact_Solver_Long_Term@@PAVIVP_U_Float_Point@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::ContactPointCalculateFrictionPointFace	ContactPointCalculateFrictionPointFace
0001F050	?p_calc_friction_s_PP@IVP_Contact_Point@@AAEXPBVIVP_U_Point@@0PAVIVP_Impact_Solver_Long_Term@@PAVIVP_U_Float_Point@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::ContactPointCalculateFrictionPointPoint	ContactPointCalculateFrictionPointPoint
0001F160	?p_calc_friction_s_PK@IVP_Contact_Point@@AAEXPBVIVP_U_Point@@PBVIVP_Compact_Edge@@PAVIVP_Cache_Ledge_Point@@PAVIVP_Impact_Solver_Long_Term@@PAVIVP_U_Float_Point@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::ContactPointCalculateFrictionPointEdge	ContactPointCalculateFrictionPointEdge
0001F3B0	?p_calc_friction_ss_KK@IVP_Contact_Point@@AAEXPBVIVP_Compact_Edge@@0PAVIVP_Cache_Ledge_Point@@1PAVIVP_Impact_Solver_Long_Term@@PAVIVP_U_Float_Point@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::ContactPointCalculateFrictionEdgeEdge	ContactPointCalculateFrictionEdgeEdge
0001F850	?reset_time@IVP_Contact_Point@@AAEXVIVP_Time@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::ContactPointResetTime	ContactPointResetTime
0001F860	?recalc_friction_s_vals@IVP_Contact_Point@@QAEXXZ	public-environment	typed-wrapper	include/BML/IVP/Environment.h	Address::ContactPointRecalculateFriction	ContactPointRecalculateFriction
0001FFE0	?get_associated_contact_point@IVP_Friction_Manager@@SAPAVIVP_Contact_Point@@PAVIVP_Mindist@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionManagerGetAssociatedContact	FrictionManagerGetAssociatedContact
00020030	?generate_contact_point@IVP_Friction_Manager@@SAPAVIVP_Contact_Point@@PAVIVP_Mindist@@PAW4IVP_BOOL@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionManagerGenerateContact	FrictionManagerGenerateContact
000200C0	?p_malloc@@YAPAXI@Z	public-constraint-car	typed-wrapper	include/BML/IVP/ConstraintCar.h	Address::Allocate	Allocate
000200D0	?p_calloc@@YAPADHH@Z	public-interpolation	typed-wrapper	include/BML/IVP/Interpolation.h	Address::AllocateZeroed	AllocateZeroed
0000D110	?get_mem@IVP_U_Memory@@QAEPAXI@Z	public-memory	typed-wrapper	include/BML/IVP/Memory.h	void *get_mem(	MemoryGet
00020140	??1IVP_U_Memory@@QAE@XZ	public-memory	typed-wrapper	include/BML/IVP/Memory.h	~IVP_U_Memory()	MemoryDestruct
00020150	?init_mem_transaction_usage@IVP_U_Memory@@QAEXPADH@Z	public-memory	typed-wrapper	include/BML/IVP/Memory.h	void init_mem_transaction_usage(	MemoryInitTransaction
000201B0	?free_mem_transaction@IVP_U_Memory@@AAEXXZ	public-memory	typed-wrapper	include/BML/IVP/Memory.h	Address::MemoryFreeTransaction	MemoryFreeTransaction
00020210	?neuer_sp_block@IVP_U_Memory@@QAEPADI@Z	public-memory	typed-wrapper	include/BML/IVP/Memory.h	char *neuer_sp_block(	MemoryNewBlock
